ID,N_total,N_shell/N_total,R_min,R_max,R_avg,R_std,R_skew,R_kurt,CN_min,CN_max,CN_avg,CN_std,CN_skew,CN_kurt,SCN_min,SCN_max,SCN_avg,SCN_std,SCN_skew,SCN_kurt,ABL_min,ABL_max,ABL_avg,ABL_std,ABL_skew,ABL_kurt,BL_min,BL_max,BL_avg,BL_std,BL_skew,BL_kurt,SBL_min,SBL_max,SBL_avg,SBL_std,SBL_skew,SBL_kurt,ABA_min,ABA_max,ABA_avg,ABA_std,ABA_skew,ABA_kurt,BA_min,BA_max,BA_avg,BA_std,BA_skew,BA_kurt,SBA_min,SBA_max,SBA_avg,SBA_std,SBA_skew,SBA_kurt,Classical_E,Classical_E/N,Mermin_E,Delta_E,Delta_E/N,Fermi_L
372,970,0.391752577,12.3252819,16.42912967,14.67194181,1.114313417,-0.478318208,-0.904336851,5,12,10.32164948,2.200395255,-0.748338983,-1.088527804,5,11,7.752631579,1.209840226,0.401975479,0.767961844,2.672914861,2.990901146,2.859126674,0.046136391,-1.0986482,1.504709175,2.404511177,3.313094173,2.865888436,0.130677806,0.076126529,0.064863057,2.404511177,3.291625434,2.831828082,0.141823406,0.226886464,-0.013142563,80.31500417,98.01263238,94.79564424,4.119692304,-1.280802977,0.598824094,47.46866538,179.9642142,96.30332726,35.09426894,0.610597883,-0.402454727,47.46866538,179.9642142,91.44305073,33.61529989,0.749905936,-0.22008081,-3534.6996,-3.644020206,-3264.6037,270.0959,0.278449381,-3.9125
373,971,0.414006179,11.65390778,19.74197817,14.79716896,2.163801706,0.339674621,-0.961935228,5,12,10.44696189,1.947247208,-0.692411495,-0.968534016,5,9,8.248756219,0.951602374,-1.226171626,1.136211858,2.623992608,2.963357409,2.862813319,0.041997514,-1.255083467,3.022228826,2.384804604,3.445213056,2.867642599,0.133132431,0.223864556,0.111823733,2.384804604,3.445213056,2.835381296,0.140458662,0.364374724,0.208721122,75.52683921,97.99832309,95.17859544,3.360678941,-1.916727761,5.105348064,44.18767794,179.8633171,96.21848133,34.91733488,0.566133911,-0.516132498,44.18767794,179.5122547,92.61910929,34.59005976,0.697594649,-0.382293564,-3547.1225,-3.653061277,-3280.661,266.4615,0.27441967,-3.7791
374,977,0.426816786,12.18107212,18.16441731,14.60885779,1.371233607,0.770091464,-0.199964246,6,12,10.33367451,1.899423475,-0.658969259,-0.921257206,6,10,8.316546763,1.060904716,-0.753549312,-0.440286914,2.665683512,2.960724873,2.856948264,0.044946372,-0.916122275,1.200800585,2.395618918,3.190368944,2.863004115,0.126455096,-0.013680057,-0.196534067,2.395618918,3.178311816,2.829206948,0.129722314,0.022701834,-0.287899366,78.945475,98.31424709,95.39263165,3.123776268,-1.677416657,2.880918854,46.52769903,179.968801,96.3379039,34.91203246,0.566002282,-0.515289216,46.52769903,179.7980433,93.18760966,34.57490754,0.669095812,-0.43077203,-3576.7842,-3.660986899,-3307.5993,269.1849,0.275521904,-3.7015
375,978,0.394683027,12.21981321,16.87558703,14.70486832,1.153071603,-0.401324819,-0.917033631,4,12,10.27198364,2.192303545,-0.727483397,-1.067975182,4,11,7.730569948,1.177692301,0.094196305,0.291164312,2.542201714,2.952617223,2.855707582,0.050847897,-1.370775801,3.067078291,2.412302634,3.239181687,2.863504614,0.132167943,0.056254853,-0.106944955,2.412302634,3.23589493,2.826205324,0.141594673,0.230900705,-0.136853932,77.93133261,98.05443694,94.82968954,4.053099013,-1.36952904,1.072937795,46.38534464,179.9882606,96.2878814,35.00968217,0.599306016,-0.427611762,47.82382215,179.9882606,91.51988738,33.50131538,0.718355139,-0.309895716,-3564.572,-3.644756646,-3293.6766,270.8954,0.276989162,-3.8652
376,983,0.408952187,12.83098389,16.9400384,14.58787208,0.92984031,0.640111922,0.252197471,5,12,10.2197355,2.316270514,-0.907874764,-0.772454932,5,11,7.820895522,1.794355571,0.365645742,-1.080085065,2.596328286,2.959372865,2.853783558,0.060531454,-1.293687071,1.427061235,2.34972509,3.247246988,2.864886968,0.139583384,-0.073914508,-0.077644681,2.34972509,3.247246988,2.833015177,0.158510575,0.112457388,-0.391468832,79.17390694,98.84393926,94.69862104,4.527262604,-1.413202334,0.778210726,47.43688948,179.8422193,96.37865102,34.96550172,0.586790484,-0.444744155,47.43688948,179.4712589,92.44503596,33.53824284,0.638067837,-0.455324669,-3570.5262,-3.632274873,-3290.6775,279.8487,0.284688403,-3.9019
377,984,0.412601626,12.84818009,16.15959467,14.54593397,0.822686144,-0.092497138,-0.812468982,5,12,10.11585366,2.317344194,-0.906406258,-0.667892393,5,11,7.793103448,1.858328394,0.254904548,-1.060708936,2.624871096,2.970325139,2.850622314,0.056684139,-1.064005369,0.897439245,2.411814669,3.183498861,2.861267449,0.130751204,-0.105220235,-0.176869064,2.411814669,3.183498861,2.824240159,0.141628736,0.035959665,-0.383950215,78.05091393,99.51078651,94.81145519,4.682764176,-1.540221357,1.17539412,48.37503424,179.9445266,96.52347336,35.00524399,0.592175889,-0.433223254,48.37503424,179.4910792,92.9870318,33.79642908,0.65179208,-0.405990971,-3579.2871,-3.63748689,-3300.4418,278.8453,0.28337937,-3.9303
378,989,0.412537917,12.73965431,16.89489707,14.60290931,0.930359545,0.577919046,0.153036302,4,12,9.906976744,2.321227918,-0.800409186,-0.821153328,4,12,7.585784314,1.80430658,0.377130267,-0.928188,2.529313626,2.942329983,2.84244759,0.062058544,-1.22526002,1.503127922,2.417652787,3.128447858,2.854622541,0.129831076,-0.263291945,-0.282473021,2.417652787,3.128268211,2.81665477,0.143685575,-0.038747492,-0.559066032,74.13596392,99.98381438,94.81756373,4.809988264,-1.562601013,1.312135279,48.18362193,179.8274247,96.54921685,34.91927387,0.586123573,-0.4482738,48.18362193,179.8274247,92.89626875,33.5422517,0.634622753,-0.455832055,-3591.5185,-3.631464611,-3312.8025,278.716,0.281815976,-3.9182
379,992,0.390120968,12.76589718,18.12592823,14.75351522,1.211020161,0.558665851,-0.412504482,5,12,10.46370968,2.001183693,-0.749032074,-0.95934958,5,9,8.080103359,0.958351342,-1.009078548,0.759829794,2.635252827,2.953286849,2.866970899,0.042578446,-1.587701383,4.239902097,2.377375233,3.338959868,2.871621522,0.133141054,0.154374981,0.304457297,2.377375233,3.338914494,2.841163314,0.144371978,0.266787793,0.334493461,76.88530361,98.01515854,95.13380823,3.411238843,-1.585075061,2.639219595,45.20263127,179.8989928,96.24181232,34.87341536,0.564611165,-0.515094253,45.20263127,179.7323914,92.20053773,34.38344564,0.716656494,-0.33805836,-3624.4619,-3.653691431,-3344.2243,280.2376,0.282497581,-3.8103
380,994,0.38832998,12.19579244,17.34504027,14.83159676,1.177987062,-0.354810687,-0.721965596,4,12,9.921529175,2.099700088,-0.516664627,-1.172952765,4,11,7.505181347,0.967644935,-0.341884231,1.035270887,2.604086334,2.955686586,2.849398751,0.047263294,-1.096491927,1.932321091,2.322994834,3.135883289,2.856235873,0.128475068,-0.128531009,-0.289820851,2.322994834,3.135883289,2.818930086,0.13696645,0.028177188,-0.355721084,79.12301272,99.54955493,94.91188358,3.96617581,-1.324058747,1.173549576,46.21628381,179.9485816,96.27635618,34.80507742,0.584984118,-0.470363287,46.21628381,179.7271225,91.18909365,33.45019782,0.739048571,-0.296811629,-3619.2746,-3.641121328,-3343.6848,275.5898,0.27725332,-3.8502
381,1000,0.419,12.8973008,16.75350855,14.64772494,1.062970237,0.354004835,-0.940116634,6,12,10.41,2.063530508,-0.863176372,-0.791330912,6,11,8.279236277,1.504641428,0.214549062,-0.837992859,2.65014505,2.966447192,2.861529657,0.049661265,-1.065197311,1.24136131,2.412824279,3.295804151,2.869158585,0.133153948,0.060577718,0.005746599,2.412824279,3.288229615,2.83660857,0.14161613,0.140361637,-0.159995312,81.32219149,98.32861055,95.27423487,3.619044435,-1.554229125,1.603875858,46.27736121,179.858821,96.4723624,35.16007222,0.596578233,-0.432414135,46.27736121,179.8237781,93.26216707,34.41343902,0.669763162,-0.387103141,-3655.6412,-3.6556412,-3375.1802,280.461,0.280461,-3.8099
