ID,N_total,N_shell/N_total,R_min,R_max,R_avg,R_std,R_skew,R_kurt,CN_min,CN_max,CN_avg,CN_std,CN_skew,CN_kurt,SCN_min,SCN_max,SCN_avg,SCN_std,SCN_skew,SCN_kurt,ABL_min,ABL_max,ABL_avg,ABL_std,ABL_skew,ABL_kurt,BL_min,BL_max,BL_avg,BL_std,BL_skew,BL_kurt,SBL_min,SBL_max,SBL_avg,SBL_std,SBL_skew,SBL_kurt,ABA_min,ABA_max,ABA_avg,ABA_std,ABA_skew,ABA_kurt,BA_min,BA_max,BA_avg,BA_std,BA_skew,BA_kurt,SBA_min,SBA_max,SBA_avg,SBA_std,SBA_skew,SBA_kurt,Classical_E,Classical_E/N,Mermin_E,Delta_E,Delta_E/N,Fermi_L
1983,905,0.435359116,10.98594904,19.04181851,14.33382733,1.486717882,0.47102035,0.055855023,3,12,7.86519337,1.549890658,-0.165158956,-0.345565876,3,10,6.774111675,1.280998278,0.114615282,-0.123820092,2.441697419,2.953436328,2.795177119,0.059907929,-0.683008078,1.425097819,2.28293342,3.06721861,2.802499741,0.150595686,-0.281894305,-0.497948696,2.28293342,3.066311465,2.775709126,0.158872914,-0.192451519,-0.59232289,69.49201084,106.5457344,95.40296059,4.835737166,-1.803349476,4.230161864,45.48533235,179.3957768,96.29457281,33.41203128,0.460090121,-0.820165872,45.48533235,179.3412826,93.2892769,33.26051385,0.563028404,-0.732565824,-3266.6653,-3.609574917,-2950.0839,316.5814,0.349813702,-3.7798
1991,487,0.53798768,7.043546511,17.55316879,11.54463073,1.784902306,0.497058394,0.521141281,1,12,8.061601643,1.859328583,-0.286025947,-0.082447339,1,10,6.839694656,1.421330626,-0.509832683,0.916655283,2.424355663,2.981119479,2.805459907,0.070148197,-0.881730577,2.184320806,2.184821503,3.142511893,2.815920506,0.173138089,-0.213029877,-0.425601126,2.184821503,3.142511893,2.794809271,0.174717515,-0.129777332,-0.311437895,67.09699959,101.8785384,94.01906297,5.703872027,-1.576735129,2.462712739,44.91654716,179.2007404,95.55063773,33.35865355,0.430607673,-0.898787758,45.53686519,179.2007404,92.55506812,33.07544887,0.547697191,-0.782903332,-1717.7595,-3.527226899,-1545.4103,172.3492,0.353899795,-3.9181
1992,492,0.516260163,8.353723348,15.42970273,11.48828001,1.297117452,0.292408135,0.125490206,3,12,8.68699187,1.767433817,-0.201851411,-0.582544473,3,11,7.413385827,1.281665308,-0.117278836,0.453780006,2.571368684,2.986672919,2.830520921,0.064119299,-0.528496466,0.570076161,2.351801225,3.204445974,2.838880462,0.182097933,0.004201047,-0.719459342,2.351801225,3.199877029,2.819924087,0.183519658,0.058473149,-0.741335137,77.14727394,102.5512761,94.19201046,4.614601029,-1.324619477,1.254598301,45.02864149,179.3693854,95.41928479,33.52638971,0.428097899,-0.894087987,45.02864149,179.3693854,92.31580417,33.28343655,0.55461406,-0.76755703,-1753.2167,-3.563448577,-1594.9951,158.2216,0.321588618,-3.7867
1993,808,0.451732673,9.871414537,20.659363,13.86472752,1.835713599,0.921799374,1.317760619,3,12,8.618811881,1.850882793,-0.303837358,-0.500235997,3,11,7.098630137,1.344963453,-0.179990174,0.184255526,2.426538975,2.970381157,2.823653921,0.062446151,-0.975651852,3.203528626,2.119937027,3.151147886,2.832458743,0.165527848,-0.167677851,-0.486591798,2.119937027,3.150722139,2.807972462,0.172627423,-0.160025486,-0.458889416,71.60083171,103.2563219,94.69057255,4.692131194,-1.816814623,3.553017151,43.36098125,179.5939866,95.92316993,33.5992848,0.446911738,-0.83173633,45.36845653,178.9245024,92.45667353,33.03252837,0.566944742,-0.744242946,-2910.6955,-3.602345916,-2628.2676,282.4279,0.34953948,-3.8198
2072,612,0.522875817,4.661429797,18.39108907,12.6739909,2.535123025,-0.260547834,-0.189777534,3,12,8.565359477,1.79487615,-0.200879484,-0.545048096,3,10,7.325,1.332261847,-0.203187398,-0.132679257,2.625505446,3.011089735,2.827983176,0.065944653,-0.431405391,0.222127029,2.334869161,3.207739703,2.836397562,0.185748917,-0.029899083,-0.624014728,2.334869161,3.207692473,2.819801977,0.190324053,0.009426109,-0.615802686,60.72516776,101.4530946,94.05494184,5.012497975,-1.689309952,4.101423238,45.20980639,179.3903525,95.35848703,33.50179981,0.4200393,-0.908503858,45.20980639,179.3903525,92.23892236,33.14802764,0.543895758,-0.787510754,-2169.8972,-3.54558366,-1966.7984,203.0988,0.331860784,-3.8304
2082,519,0.560693642,5.770065768,20.54891226,12.2540683,2.884306155,0.506733338,0.321917109,1,12,8.300578035,1.852218656,-0.219732868,-0.099563057,1,10,7.109965636,1.390213454,-0.389906232,1.487843049,1.881463792,2.985990502,2.814228396,0.083775527,-3.682307568,35.07526189,1.881463792,3.184313741,2.82577436,0.187362994,-0.177967215,-0.305866877,1.881463792,3.184313741,2.808405036,0.191883738,-0.144594024,-0.186689909,74.59281262,103.0861244,93.84751612,5.214871399,-1.222774649,0.710878342,42.97667314,179.9107298,95.25312689,33.41225066,0.428701944,-0.893300637,42.97667314,179.9107298,92.15977986,33.02616495,0.548957586,-0.772352429,-1822.8296,-3.512195761,-1603.814,219.0156,0.421995376,-3.844
2091,439,0.533029613,7.535052652,15.27005616,11.15030551,1.6377438,-0.005280538,-0.809988892,1,12,7.986332574,1.84311504,-0.214286642,0.036700951,1,11,6.790598291,1.406208362,-0.413625091,1.939849741,2.50022299,3.004112329,2.806412191,0.07275866,-0.653591656,0.998170655,2.179916971,3.150362201,2.81708945,0.18153463,-0.231177617,-0.536636531,2.179916971,3.148231408,2.796404613,0.189797553,-0.130463221,-0.589675317,73.99606639,102.684501,94.21084805,5.259424101,-1.27573213,1.124161743,44.42309405,179.081144,95.455346,33.30832396,0.423112764,-0.917981971,44.42309405,177.7062049,92.25037474,32.85576049,0.542669838,-0.803865926,-1542.1505,-3.512871298,-1382.6972,159.4533,0.363219362,-3.9235
2094,867,0.438292964,11.40839701,18.15260626,14.06150664,1.210548718,0.36998798,0.098167904,3,12,9.061130334,2.039381357,-0.368026484,-0.770668192,3,11,7.210526316,1.373666679,-0.070558274,-0.067167527,2.534029648,3.005952057,2.83506493,0.064967931,-0.948037652,1.246558352,2.190879732,3.143415499,2.845583309,0.160519572,-0.265528851,-0.430917278,2.190879732,3.143375574,2.809578048,0.169432674,-0.129400615,-0.503116793,64.27311584,106.4047218,94.94903866,4.691167143,-1.975379185,4.825903315,45.4195216,179.7487515,96.29150675,34.21835923,0.516633824,-0.631061132,45.4195216,179.1281719,92.70349686,33.25573076,0.58797742,-0.655574,-3142.1711,-3.62418812,-2840.6741,301.497,0.347747405,-3.8378
2172,555,0.488288288,9.222053237,14.13758108,11.98001528,0.975488646,-0.390036467,0.021975096,4,12,8.58018018,1.82500778,-0.197359108,-0.783804149,4,11,7.191881919,1.308125801,0.149393803,0.047376747,2.602871545,3.025087019,2.825096902,0.067718383,-0.454271762,0.060304643,2.2595577,3.2195172,2.834463057,0.191110384,-0.005339495,-0.630833367,2.2595577,3.219297439,2.809031976,0.200798283,0.093102826,-0.642122794,73.40062037,103.233931,94.22804604,4.986481813,-1.495831374,1.712841015,42.32670135,179.6189638,95.53374829,33.42357792,0.406824938,-0.92949227,44.81793377,179.6189638,92.21570014,33.02239614,0.534555133,-0.812588383,-1970.4808,-3.550415856,-1776.229,194.2518,0.350003243,-3.8129
2181,435,0.622988506,1.283026044,20.46564415,11.90519842,3.503594897,-0.290919955,-0.160378048,2,12,8.027586207,1.907823431,-0.013533818,-0.555754503,2,11,6.988929889,1.451648858,0.041115161,0.300054958,2.545881131,3.010406364,2.801119412,0.073715964,-0.414162962,0.148135647,2.134181576,3.191962719,2.812526539,0.190040844,-0.07591085,-0.54410785,2.134181576,3.191962719,2.797407606,0.195646028,-0.063364058,-0.547893645,59.99829615,103.3882925,93.52995718,5.986285151,-1.861231597,5.010234086,40.83048827,178.8242172,95.1630577,33.28465104,0.427669739,-0.905985514,40.83048827,178.8242172,92.6664577,33.00131208,0.526677431,-0.801487747,-1510.9756,-3.473507126,-1358.1432,152.8324,0.351338851,-3.8966
